#datadisks																																
Id		Categories	TechLevel	Price	Weight	InventoryWidthSize	ItemClass	CanPutInVest	UnlockType	UnlockIds	Disassembly																					
low_chip		Chip Common Science Worker	1	300	0.1	1	Blueprint	FALSE	ProductionItem	worker_torch_1 worker_pistol_1 army_pistol_2 pmc_pistol_2 military_pistol_2 trucker_pistol_2 rail_pistol_2 common_pistol_2 worker_discthrower_1 pmc_shotgun_1 trucker_shotgun_1 military_shotgun_1 pmc_smg_1 pmc_smg_2 common_assault_1 pmc_assault_1 army_sniper_1 trucker_marksman_1 worker_hmg_1 worker_flamethrower_1 trash_sawblade_1 police_club_1 miner_breaker_1 common_axe_1 small_burst_ammo shotgun_bullet_ammo throwing_knife frag_grenade highexplosion_grenade stun_grenade frag_mine medium_backpack_1 servo_backpack_1 pmc_common_vest_1 trash_armored_vest_1 military_common_vest_1 armored_vest_1 science_reinforced_shirt_1 medical_gasmask_1 medical_medium_armor_1 military_mask_1 military_light_armor_1 miner_shirt_1 medical_glue goldenstar_balm syringe_bloodbag pills_fibromine pills_cryopentol pills_tranexam pills_osteodron syringe_antidote pills_painkillers vodka_bottle_1 stationary_turret fire_turret																						
medium_chip		Chip Common Science	4	450	0.1	1	Blueprint	FALSE	ProductionItem	army_pistol_3 pmc_pistol_3 military_pistol_3 trucker_pistol_3 rail_pistol_3 laser_pistol_2 common_pistol_3 common_shock_pistol_1 trucker_shotgun_2 common_shotgun_2 pmc_smg_4 military_smg_1 police_smg_1 laser_smg_1 plasma_shotgun_1 military_assault_1 plasma_assault_1 trucker_marksman_2 laser_marksman_1 grenade_launcher_1 common_rocketlauncher_1 tech_blade_1 med_lightblade_1 small_expansive_ammo shotgun_flechette_ammo rifle_armorpierce_ammo medium_police_ammo rocket_fire_ammo thermal_grenade smoke_grenade big_backpack_1 military_armored_vest_1 armored_expanded_vest_1 science_chem_shirt_1 medical_chem_shirt_1 medical_heavy_armor_1 military_doc_armor_1 miner_gasmask_1 military_medium_armor_1 military_heavy_armor_1 laborer_warm_shirt_1 laborer_exoskeleton_1 miner_exoskeleton_1 surgical_kit mre_pack_1 energy_turret placeable_barrel																						
high_chip		Chip Common Science	7	550	0.1	1	Blueprint	FALSE	ProductionItem	laser_smg_2 army_sniper_2 laser_sniper_1 army_hmg_1 plasma_hmg_1 military_minigun_1 army_rocketlauncher_1 shotgun_dragon_ammo rifle_plasma_ammo heavy_armored_vest_1 military_power_armor_1 medical_kit_2 automap placeable_barrier																						
rwa_chip		RealWare	10	650	0.1	1	Blueprint	FALSE	ProductionItem	rwa_military_pistol_1 rwa_military_smg_1 rwa_military_assault_1 rwa_military_hmg_1 military_axe_1 military_light_helmet_1 military_shirt_3 military_pants_2 rwa_light_armor_1 rwa_heavy_armor_1 rwa_power_armor_1																						
sbn_chip		SBN	10	650	0.1	1	Blueprint	FALSE	ProductionItem	sbn_rail_pistol_1 sbn_rail_shotgun_1 sbn_rail_smg_1 sbn_smg_1 sbn_rail_assault_1 sbn_light_armor_1 sbn_medium_armor_1 sbn_heavy_armor_1																						
anc_chip		AnCom	10	650	0.1	1	Blueprint	FALSE	ProductionItem	anc_pistol_1 anc_pistol_2 anc_quasi_pistol_1 pmc_shotgun_2 anc_shotgun_1 anc_shotgun_2 pmc_smg_3 anc_smg_1 anc_quasi_smg_1 anc_marksman_1 anc_quasi_assault_1 medium_cold_ammo anc_reinforced_shirt_1 anc_agent_armor_1 anc_medium_armor_1 anc_medium_armor_2																						
ddr_chip		DaydreamChems	10	650	0.1	1	Blueprint	FALSE	ProductionItem	ddr_frost_pistol_1 ddr_toxic_pistol_1 ddr_disruptor_pistol_1 ddr_shotgun_1 ddr_toxic_shotgun_1 ddr_frost_shotgun_1 ddr_disruptor_marksman_1 toxic_thrower_1 ddr_poisonknife_1 toxic_grenade toxic_gas_grenade frost_grenade frost_gas_grenade ddr_chem_coat_1 ddr_reinforced_chem_coat_1 ddr_power_armor_1																						
sun_chip		Sunlight Emeraldlight	10	650	0.1	1	Blueprint	FALSE	ProductionItem	sun_laser_pistol_1 sun_cryolaser_pistol_1 sun_laser_shotgun_1 sun_cryolaser_smg_1 sun_laser_assault_1 sun_cryolaser_assault_1 sun_laser_sniper_1 sun_laser_marksman_1 sun_cryolaser_hmg_1 sun_rocketlauncher_1 sun_laser_powersword_1 rocket_nuke_ammo sun_servo_backpack_1 sun_medium_armor_1 sun_power_armor_1																						
cor_chip		CoreWard	10	650	0.1	1	Blueprint	FALSE	ProductionItem	cor_worker_pistol_1 cor_nail_shotgun_1 cor_worker_discthrower_1 cor_laser_sniper_1 cor_worker_hmg_1 cor_worker_hmg_2 cor_hmg_1 cor_worker_flamethrower_1 military_shovel_1 miner_reinforced_shirt_1 miner_medium_armor_1 miner_power_armor_1																						
plb_chip		PlanetBridge	10	650	0.1	1	Blueprint	FALSE	ProductionItem	plb_pistol_1 plb_pistol_2 plb_smg_1 plb_marksman_1 rail_marksman_1 plb_hmg_1 plb_worker_shockgun_1 laborer_medium_armor_1 plb_medium_armor_1 plb_power_armor_1																						
gra_chip		Grasshopper	10	650	0.1	1	Blueprint	FALSE	ProductionItem	grh_revolver_pistol_1 grh_common_smg_1 grh_trucker_assault_1 grh_trucker_assault_2 grh_trucker_marksman_1 grh_trucker_marksman_2 grh_microwave_marksman_1 heavy_incendiary_ammo grh_light_armor_1																						
chu_chip		ChurchRevelation ChurchGannix	10	650	0.1	1	Blueprint	FALSE	ProductionItem	army_pistol_4 chu_trucker_pistol_1 chu_trucker_pistol_2 trucker_shotgun_3 plasma_shotgun_2 chu_shotgun_1 chu_meltathrower_1 chu_sniper_1 chu_plasma_sniper_1 chu_fireclub_1 shotgun_explosion_ammo chu_manager_shirt_1 chu_power_armor_1																						
fra_chip		FrancheComte	10	650	0.1	1	Blueprint	FALSE	ProductionItem	fra_security_pistol_1 fra_security_pistol_2 fra_shock_pistol_1 common_shotgun_3 fra_security_shotgun_1 fra_security_smg_1 fra_security_smg_2 fra_shock_smg_1 fra_security_assault_1 fra_security_hmg_1 fra_police_club_1 police_reinforced_shirt_1 police_medium_armor_1 police_heavy_armor_1 fra_heavy_armor_1																						
