#explosions																												
Id		Parameters.VisualExplosion	Parameters.Radius	Parameters.DistanceDamageFalloff	Parameters.GainDmgToCreature	Parameters.SelfDamaging	Parameters.GainDmgToLocation	Parameters.GainDmgToMonolith	Parameters.Damage	Parameters.DamageType	Parameters.WoundChance	Parameters.Throwback	Parameters.ThrowbackChance	Parameters.ThrowbackDependOnRadius	Parameters.Stun	Parameters.StunChance	Parameters.StunDuration	Parameters.StunDependOnRadius	Parameters.PropagateFire	Parameters.PropagateFireChance	Parameters.LargeFireChance	Parameters.FireDependOnRadius	Parameters.PropagateLiquid	Parameters.LiquidType	Parameters.Disintegrate	Parameters.PropagateGas	Parameters.GasType	Parameters.GasStrength
blob_death_explosion		TRUE	2	2	TRUE	FALSE	TRUE	FALSE	50	blunt	0.7	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
mercury_death_explosion		TRUE	2	2	TRUE	FALSE	FALSE	FALSE	40	poison	1.5	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
cattaram_explosion		TRUE	4	2	TRUE	TRUE	TRUE	FALSE	100	explosion	1.1	TRUE	0.4	FALSE	FALSE	0	0	FALSE	TRUE	0.05	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
frag_big_explosion		TRUE	3	2	TRUE	TRUE	TRUE	FALSE	125	explosion	1.5	TRUE	0.5	FALSE	FALSE	0	0	FALSE	TRUE	0.05	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
frag_explosion		TRUE	3	1	TRUE	TRUE	TRUE	FALSE	100	explosion	1.2	TRUE	0.8	TRUE	FALSE	0	0	FALSE	TRUE	0.05	5	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
he_explosion		TRUE	1	3	TRUE	TRUE	TRUE	FALSE	120	blunt	1.4	TRUE	1	FALSE	TRUE	0.5	1	FALSE	TRUE	0.1	10	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
quasi_explosion		TRUE	3	2	TRUE	TRUE	TRUE	FALSE	85	chaos	1	FALSE	0	FALSE	FALSE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
thermal_explosion		FALSE	2	2	FALSE	TRUE	FALSE	FALSE	20	fire	0	FALSE	0	FALSE	FALSE	0	0	FALSE	TRUE	0.75	70	TRUE	FALSE	Red	FALSE	FALSE	Smoke	Weak
stun_explosion		TRUE	3	2	FALSE	TRUE	FALSE	FALSE	0	shock	0	FALSE	0	FALSE	TRUE	1	4	TRUE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
electronic_explosion		TRUE	2	2	TRUE	TRUE	FALSE	FALSE	36	shock	0.5	FALSE	0	FALSE	TRUE	0	0	FALSE	FALSE	0	0	FALSE	FALSE	Red	FALSE	FALSE	Smoke	Weak
