#factions																							
Id	Enabled	InitialPower	InitialTechLevel	InitialPlayerReputation	FactionType	AllianceType	SpawnMissionChance	GuardCreatureId	CEOGuardCreatureId	AgentCreatureId	CeoMobClassId	MinQmorphosWhenVictims	UseGeneralRewards	PortraitsByStrategy	ItemDropCategories	CanBeCaptured	CanBeTraded						
AnCom	TRUE	0	1	20	Corp	Hexarchy	0.08	sniper	anc_elite	professor		0	TRUE	FALSE	AnCom	FALSE	TRUE						
Hive	FALSE	0	1	20	Corp	Hexarchy	0.08	sniper	anc_elite	professor		0	TRUE	FALSE	AnCom	FALSE	TRUE						
Tezctlan	TRUE	1000	2	20	Tezctlan	Empire	0.45	venus_jaguar_knight	venus_demon_warrior	venus_acolyte		100	FALSE	FALSE	Tezctlan	FALSE	TRUE						
XiomaraMasks	FALSE	0	3	0	Xiomara	Rebels	0.08	venus_eagle_knight	venus_demon_warrior	venus_acolyte		100	FALSE	FALSE	XiomaraMasks	FALSE	TRUE						
SBN	TRUE	0	1	10	Corp	Hexarchy	0.08	cyborg_recreation	sbn_elite	manager		0	TRUE	FALSE	SBN	FALSE	TRUE						
RealWare	TRUE	0	1	10	Corp	Hexarchy	0.08	soldier	rwa_elite	warden		0	TRUE	FALSE	RealWare	FALSE	TRUE						
Tianming	TRUE	0	1	10	Corp	Hexarchy	0.08	clonewarrior	tia_elite	perfect		0	TRUE	FALSE	Tianming	FALSE	TRUE						
DaydreamChems	TRUE	0	1	0	Corp	Corporation	0.2	professor_combat	ddr_elite	professor	ddr_ceo	0	TRUE	FALSE	DaydreamChems	TRUE	TRUE						
PlanetBridge	TRUE	0	1	0	Corp	Corporation	0.2	pmc_heavy	plb_elite	manager	plb_ceo	0	TRUE	FALSE	PlanetBridge	TRUE	TRUE						
Grasshopper	TRUE	0	1	0	Corp	Corporation	0.2	sniper	gra_elite	agent	gra_ceo	0	TRUE	FALSE	Grasshopper	TRUE	TRUE						
Sunlight	TRUE	0	1	0	Corp	Corporation	0.2	berserk	sun_elite	manager	sun_ceo	0	TRUE	FALSE	Sunlight	TRUE	TRUE						
Emeraldlight	FALSE	0	6	0	Corp	Empire	0.45	berserk	sun_elite	manager	sun_ceo	0	TRUE	FALSE	Emeraldlight	FALSE	TRUE						
FrancheComte	TRUE	0	1	0	Corp	Corporation	0.2	pmc_heavy	fra_elite	medic_combat	fra_ceo	0	TRUE	FALSE	FrancheComte	TRUE	TRUE						
ChurchRevelation	TRUE	0	1	0	Corp	Corporation	0.2	soldier	chu_elite	manager	chu_ceo	0	TRUE	FALSE	ChurchRevelation	TRUE	TRUE						
ChurchGannix	FALSE	0	6	0	Corp	Empire	0.45	soldier	chu_elite	manager	chu_ceo	0	TRUE	FALSE	ChurchGannix	FALSE	TRUE						
CoreWard	TRUE	0	1	0	Corp	Corporation	0.2	enforcer	cor_elite	manager	cor_ceo	0	TRUE	FALSE	CoreWard	TRUE	TRUE						
CResistance	TRUE	0	1	-10	CivilRes	Resistance	0.45	civ_soldier	civ_elite	civ_medic_combat		0	TRUE	FALSE	CResistance	FALSE	TRUE						
GodBuilders	FALSE	0	6	0	CivilRes	Resistance	0.45	civ_enforcer	civ_elite	civ_medic_combat		0	TRUE	FALSE	CResistance	FALSE	TRUE						
CivilUnity	FALSE	0	6	0	CivilRes	Resistance	0.45	civ_soldier	civ_elite	civ_medic_combat		0	TRUE	FALSE	CResistance	FALSE	TRUE						
Dilthey	TRUE	0	1	20	Corp	Hexarchy	0.08	cyborg_battle	dil_elite	manager		0	TRUE	FALSE	Dilthey	FALSE	TRUE						
UnchainedBelt	TRUE	0	1	-10	Pirates	Pirates	0.45	unc_enforcer	unc_elite	looter		0	TRUE	TRUE	UnchainedBelt	FALSE	TRUE						
SheduThousand	FALSE	0	5	0	Shedu	Legion	0.45	mars_battle_gun	she_elite	quest_mars_knight		100	FALSE	FALSE	SheduThousand	FALSE	TRUE						
EipschwitzHead	FALSE	0	1	0	Xiomara	Rebels	0	pmc_heavy	elite	professor		0	TRUE	FALSE	Common	FALSE	TRUE						
Unknown	FALSE	0	1	0	Corp	Corporation	0	pmc_heavy	elite	venus_acolyte		0	TRUE	FALSE	Empty	FALSE	FALSE						
Magnum	FALSE	0	0	100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	TRUE	FALSE	Common	FALSE	TRUE						
ShartamakhumFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Shartamakhum	FALSE	TRUE						
GannixFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Gannix	FALSE	TRUE						
DuggurFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Duggur	FALSE	TRUE						
UrFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Ur	FALSE	TRUE						
CattaramFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Cattaram	FALSE	TRUE						
RonFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Ron	FALSE	TRUE						
ScrivnusFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Scrivnus	FALSE	TRUE						
FlaurosFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Flauros	FALSE	TRUE						
OlirnaFeral	FALSE	5000	0	-100	Xiomara	Rebels	0	pmc_heavy	elite	venus_acolyte		0	FALSE	FALSE	Olirna	FALSE	TRUE						
#end																							
