#firemodes																									
Id		AmmoPerShot	WeaponCastsCount	RequiredAllAmmoToShot	Accuracy	DamageMult	ScatterAngle	DelayInSecsBetweenShots																	
stab_power_2		2	2	FALSE	0.2	1.05	0	0.45																	
shotgun_unload_6		6	6	FALSE	0.2	1	3.2	0.025																	
pistol_8		8	8	FALSE	-0.2	1	7.2	0.035																	
launcher_venus_1		5	1	FALSE	0.3	1	4	0																	
launcher_mars_1		10	1	FALSE	0.3	1	4	0																	
launcher_mars_2		20	2	FALSE	0.15	1	4.4	0.06																	
flamethrower_1		10	1	TRUE	1	1	3	0.05																	
stab_3		0	3	FALSE	-0.2	0.55	0	0.35																	
stab_1		0	1	FALSE	0	1	0	0																	
injection_1		1	1	FALSE	0	1.65	0	0																	
slash_2		0	2	FALSE	0	0.9	0	0.5																	
stab_2		0	2	FALSE	0.2	0.7	0	0.5																	
slash_1		0	1	FALSE	0.2	1.6	0	0																	
slash_power_2		2	2	TRUE	0	1.35	0	0.45																	
slash_power_1		1	1	FALSE	0.15	1.9	0	0																	
smash_1		0	1	FALSE	0	1.2	0	0																	
smash_2		0	2	FALSE	-0.1	0.55	0	0.45																	
smash_power_1		1	1	FALSE	0	1.6	0	0																	
breaker		1	1	FALSE	0	1.6	0	0																	
smash_power_2		1	2	FALSE	-0.1	0.75	0	0.45																	
chop_strong_1		0	1	FALSE	0	1.1	0	0																	
chop_2		0	2	FALSE	0.15	0.45	0	0.4																	
chop_precise_1		0	1	FALSE	0.15	0.85	0	0																	
punch_1		0	1	FALSE	0	1	0	0																	
claw_1		0	1	FALSE	0	1	0	0																	
hfg_1		40	1	TRUE	1	1	2	0																	
disc_1		1	1	FALSE	0.3	1	3	0																	
disc_2		2	2	FALSE	0.15	1	3.5	0.06																	
disc_3		3	3	FALSE	0.05	1	4	0.05																	
disc_4		4	4	FALSE	0	1	4.4	0.05																	
shotgun_1		1	1	FALSE	0.3	1	3	0																	
shotgun_2		2	2	FALSE	0.15	1	3.5	0.06																	
shotgun_3		3	3	FALSE	0.05	1	4	0.05																	
shotgun_4		4	4	FALSE	0	1	4.4	0.05																	
shotgun_5		5	5	FALSE	-0.1	1	4.8	0.045																	
shotgun_wide_1		1	1	FALSE	0.35	1	17	0																	
shotgun_narrow_1		1	1	FALSE	0.2	1	1.3	0																	
shotgun_unload_2		2	2	FALSE	0.2	1	3.2	0.025																	
rifle_1		1	1	FALSE	0.3	1	3	0																	
rifle_2		2	2	FALSE	0.15	1	3.5	0.06																	
rifle_3		3	3	FALSE	0.05	1	4	0.05																	
rifle_4		4	4	FALSE	0	1	4.4	0.05																	
rifle_5		5	5	FALSE	-0.1	1	4.8	0.045																	
rifle_6		6	6	FALSE	-0.15	1	5.6	0.04																	
rifle_8		8	8	FALSE	-0.2	1	7.2	0.035																	
pistol_1		1	1	FALSE	0.3	1	3	0																	
pistol_2		2	2	FALSE	0.15	1	3.5	0.06																	
pistol_3		3	3	FALSE	0.05	1	4	0.05																	
pistol_4		4	4	FALSE	0	1	4.4	0.05																	
pistol_5		5	5	FALSE	-0.1	1	4.8	0.045																	
pistol_6		6	6	FALSE	-0.15	1	5.6	0.04																	
quasi_1		1	1	FALSE	0.3	1	3	0																	
quasi_2		2	2	FALSE	0.15	1	3.5	0.06																	
quasi_3		3	3	FALSE	0.05	1	4	0.05																	
quasi_4		4	4	FALSE	0	1	4.4	0.05																	
quasi_5		5	5	FALSE	-0.1	1	4.8	0.045																	
quasi_6		6	6	FALSE	-0.15	1	5.6	0.04																	
quasi_8		8	8	FALSE	-0.2	1	7.2	0.035																	
pulse_1		1	1	FALSE	0.3	1	3	0																	
pulse_2		2	2	FALSE	0.15	1	3.5	0.06																	
pulse_3		3	3	FALSE	0.05	1	4	0.05																	
pulse_4		4	4	FALSE	0	1	4.4	0.05																	
pulse_5		5	5	FALSE	-0.1	1	4.8	0.045																	
beam_1		1	1	FALSE	0.3	1	3	0																	
beam_2		2	2	FALSE	0.15	1	3.5	0.06																	
beam_3		3	3	FALSE	0.05	1	4	0.05																	
beam_4		4	4	FALSE	0	1	4.4	0.05																	
beam_5		5	5	FALSE	-0.1	1	4.8	0.045																	
beam_8		8	8	FALSE	-0.2	1	7.2	0.035																	
beam_unload_3		3	3	FALSE	0.2	1	3.2	0.025																	
beam_power_1		4	1	FALSE	0.3	1.8	3.3	0																	
beam_power_2		3	1	FALSE	0.3	1.8	3.3	0																	
plasma_1		1	1	FALSE	0.3	1	3	0																	
plasma_2		2	2	FALSE	0.15	1	3.5	0.06																	
plasma_3		3	3	FALSE	0.05	1	4	0.05																	
plasma_4		4	4	FALSE	0	1	4.4	0.05																	
plasma_5		5	5	FALSE	-0.1	1	4.8	0.045																	
plasma_6		6	6	FALSE	-0.15	1	5.6	0.04																	
plasma_8		8	8	FALSE	-0.2	1	7.2	0.035																	
lightning_1		1	1	FALSE	0.3	1	3	0																	
lightning_2		2	2	FALSE	0.15	1	3.5	0.06																	
lightning_4		4	4	FALSE	0.05	1	4.4	0.05																	
lightning_8		8	8	FALSE	-0.2	1	7.2	0.035																	
launcher_1		1	1	FALSE	0.3	1	4	0																	
#end																									
