#trash																																
Id		Categories	TechLevel	Price	Weight	InventoryWidthSize	ItemClass	CanPutInVest	MaxStack	SubType	Disassembly																					
powder		Security Miner	1	1	0.01	1	Parts	FALSE	100	Resource																						
glass		Common Worker	1	3	0.05	1	Parts	FALSE	50	Resource																						
metal_tread		Common Worker	1	3	0.2	1	Parts	FALSE	20	Resource																						
wire		Common Worker	1	5	0.1	1	Parts	FALSE	20	Resource																						
explosives		Miner Military	1	20	0.3	1	Parts	FALSE	20	Resource																						
acid		Miner Science	1	3	0.1	1	Parts	FALSE	20	Resource																						
tin		Common Miner	1	1	0.1	1	Parts	FALSE	10	Resource																						
quest_fresco_data			1	999	0.5	1	QuestItem	FALSE	1	QuestItem																						
quest_prison_head			1	999	0.5	1	QuestItem	FALSE	1	QuestItem																						
venus_key			1	999	0.5	1	QuestItem	FALSE	1	QuestItem																						
*glass_bottle		Common	1	1	0.2	1	Parts	TRUE	10	Resource	glass 6																					
organs_box		Science Medical	1	100	0.8	1	ScienceBarter	FALSE	10	Container	syringe_bloodbag 6 human_organ_1 2 throwable_heart 2 human_eye 2 human_ear 2																					
items_box			100	500	2.5	1	QuestItem	FALSE	1	Container	common_knife_1 1 military_pistol_1 1 military_light_armor_1 1 military_mask_1 1 common_pants_4 1 prison_light_boots_1 1 small_basic_ammo 1 bandage 1 splint 1 pills_antibiotics 1 ration_pack_3 1 ration_pack_4 1 small_backpack_1 1 hydrogel_bandage 1																					
poppy_box		Common Civilian Science	1	20	0.1	1	Parts	FALSE	20	Resource																						
quest_device			1	0	0.5	1	QuestItem	FALSE	1	QuestItem																						
quest_igvalit			1	0	0.5	1	QuestItem	FALSE	1	QuestItem																						
quest_artefact			1	0	0.5	1	QuestItem	FALSE	1	QuestItem																						
quest_ancom_data			1	0	0.5	1	QuestItem	FALSE	1	QuestItem																						
quest_secret_data			1	0	0.5	1	QuestItem	FALSE	3	QuestItem																						
quest_dislocator_part			1	0	0.5	1	QuestItem	FALSE	4	QuestItem																						
quest_golden_skull			1	0	0.5	1	QuestItem	FALSE	4	QuestItem																						
