#itemClass																									
Name	Id																								
None	0																								
Weapon	1																								
ThrowableWeapon	2																								
Helmet	3																								
Armor	4																								
Leggings	5																								
Boots	6																								
Backpack	7																								
Vest	8																								
Ammo	9																								
Food	10																								
Drink	11																								
Alcohol	12																								
Pills	13																								
Syringe	14																								
Medpack	15																								
Dressing	16																								
Parts	17																								
RepairKit	18																								
MilitaryBarter	19																								
ScienceBarter	20																								
IndustrialBarter	21																								
ValuableBarter	22																								
Turret	23																								
Cyborg	24																								
Mine	25																								
Grenade	26																								
QuasiArtefact	27																								
QuasiPact	28																								
QuasiOrgan	29																								
Data	30																								
Blueprint	31																								
Organ	32																								
QuestItem	33																								
BioAug	34																								
CyberneticAug	35																								
QuasiAug	36																								
PlaceableObstacle	37																								
#end																									
