#projectiles																									
Id	Speed	MakeBloodDecals																							
continues_laser	50	FALSE																							
continues_mercury	50	FALSE																							
continues_quasi_laser	50	FALSE																							
continues_ultimate_ray	50	FALSE																							
disk	18	TRUE																							
matrix	18	TRUE																							
disruptor	12	FALSE																							
disruptor_small	12	FALSE																							
flame_thrower	10	FALSE																							
frost	12	FALSE																							
heavy	20	TRUE																							
heavy_thermal	20	TRUE																							
hfg	9	FALSE																							
laser	20	FALSE																							
lighting	20	FALSE																							
lighting_small	20	FALSE																							
melta_beam	20	FALSE																							
melta_small_beam	20	FALSE																							
microwave	20	FALSE																							
nail	20	TRUE																							
quasi_nail	20	TRUE																							
pistol	20	TRUE																							
plasma	14	FALSE																							
plasma_shrapnel	18	FALSE																							
plasma_charge	12	FALSE																							
quasi_beam	50	FALSE																							
quasi_bolt	20	FALSE																							
quasi_dart	20	TRUE																							
quasi_laser	20	FALSE																							
quasi_charge	12	FALSE																							
shrapnel	20	TRUE																							
sound	14	FALSE																							
tech_frost	12	FALSE																							
tech_frost_shrapnel	12	FALSE																							
thermal	20	FALSE																							
thermal_shrapnel	20	FALSE																							
toxic	20	TRUE																							
toxic_thrower	10	FALSE																							
extinguisher_thrower	10	FALSE																							
rocket	10	FALSE																							
small_rocket	10	FALSE																							
web_bolt	9	FALSE																							
scrivnus_bone	9	TRUE																							
flauros_fly_bullet	9	FALSE																							
knife	14	TRUE																							
axe	14	TRUE																							
shuriken	14	TRUE																							
bottle	10	TRUE																							
#end																									
