#tooltipIconTags
Name	AssociatedEffects
trait_inherit_damage	SExplosive
traits_armor_pen	FArmorPenetration
traits_backstab	FBackstabCritChance
traits_bipod	FBipodScatter
traits_cleave	BMeleeCleave IMeleeSweep
traits_collimator	FFalloffBonus
traits_corrosive	FCorrosiveEffect
traits_critical_throw	BThrowAutoCrit
traits_extra_knockback	BExtraKnockback
traits_fires	FFireSpread
traits_fragile	IFragile
traits_heavy_weapon	BHeavyWeapon
traits_incendiary	FIncendiaryChance SExplosive
traits_knockback	FThrowbackChance
traits_knockdown	FStunChance
traits_laser_sight	BLaserSight
traits_mutiliating	BMutilate
traits_offhand	FOffHandCritBonus
traits_optic_sight	IEffRangeStarts
traits_overclock	IOverclockDamage
traits_overheat	IOverheatDurability
traits_painful	FPainDamageMult
traits_painful_crits	FPainCritMult
traits_perfect_throw	BThrowAutoHit
traits_piercing	FPierce
traits_piercing_throw	BPiercingThrow
traits_ramp_up	IRampUpProjectiles
traits_ricochet	IRicochet
traits_selfcharging	BSelfcharging
traits_single_load	BSingleLoad
traits_suppressive_fire	FSuppressedAccuracy IMarkCritVulnerableDuration
traits_suppressor	BSuppressor
traits_toxic	FToxicSpread SExplosive
traits_unthrowable	BUnthrowable
traits_unwieldy	FUnwieldyMult
traits_water	FWaterSpread
traits_wounding_pierce	FDoWoundChance FPiercingTrauma
#end
